"activity_type" "subject" "domain" "detector" "operation" "mean"
"SITTING" 17 "time" "BodyGyroJerkMag" "std" -0.994446755625
"STANDING" 17 "time" "BodyGyroJerkMag" "std" -0.992372117307692
"WALKING" 17 "time" "BodyGyroJerkMag" "std" -0.53970849147541
"WALKING_DOWNSTAIRS" 17 "time" "BodyGyroJerkMag" "std" -0.592319490869565
"WALKING_UPSTAIRS" 17 "time" "BodyGyroJerkMag" "std" -0.68231162875
"LAYING" 18 "time" "BodyGyroJerkMag" "std" -0.992153054
"SITTING" 18 "time" "BodyGyroJerkMag" "std" -0.994868913508772
"STANDING" 18 "time" "BodyGyroJerkMag" "std" -0.988519665753425
"WALKING" 18 "time" "BodyGyroJerkMag" "std" -0.726591779107143
"WALKING_DOWNSTAIRS" 18 "time" "BodyGyroJerkMag" "std" -0.744159518909091
"WALKING_UPSTAIRS" 18 "time" "BodyGyroJerkMag" "std" -0.835525127931035
"LAYING" 19 "time" "BodyGyroJerkMag" "std" -0.980245510843374
"SITTING" 19 "time" "BodyGyroJerkMag" "std" -0.985831284657534
"STANDING" 19 "time" "BodyGyroJerkMag" "std" -0.983069427945205
"WALKING" 19 "time" "BodyGyroJerkMag" "std" -0.271487480103846
"WALKING_DOWNSTAIRS" 19 "time" "BodyGyroJerkMag" "std" -0.0438985022538462
"WALKING_UPSTAIRS" 19 "time" "BodyGyroJerkMag" "std" -0.50740029025
"LAYING" 20 "time" "BodyGyroJerkMag" "std" -0.981079301617647
"SITTING" 20 "time" "BodyGyroJerkMag" "std" -0.97507615
"STANDING" 20 "time" "BodyGyroJerkMag" "std" -0.926328788356164
"WALKING" 20 "time" "BodyGyroJerkMag" "std" -0.149864146847059
"WALKING_DOWNSTAIRS" 20 "time" "BodyGyroJerkMag" "std" -0.275591880382222
"WALKING_UPSTAIRS" 20 "time" "BodyGyroJerkMag" "std" -0.455396068627451
"LAYING" 21 "time" "BodyGyroJerkMag" "std" -0.982246471555556
"SITTING" 21 "time" "BodyGyroJerkMag" "std" -0.990302232705882
"STANDING" 21 "time" "BodyGyroJerkMag" "std" -0.976153687752809
"WALKING" 21 "time" "BodyGyroJerkMag" "std" -0.450369988846154
"WALKING_DOWNSTAIRS" 21 "time" "BodyGyroJerkMag" "std" -0.509130858444444
"WALKING_UPSTAIRS" 21 "time" "BodyGyroJerkMag" "std" -0.647723419148936
"LAYING" 22 "time" "BodyGyroJerkMag" "std" -0.974201690972222
"SITTING" 22 "time" "BodyGyroJerkMag" "std" -0.976503766290323
"STANDING" 22 "time" "BodyGyroJerkMag" "std" -0.966086148412698
"WALKING" 22 "time" "BodyGyroJerkMag" "std" -0.503106312391304
"WALKING_DOWNSTAIRS" 22 "time" "BodyGyroJerkMag" "std" -0.617659355833333
"WALKING_UPSTAIRS" 22 "time" "BodyGyroJerkMag" "std" -0.675633024285714
"LAYING" 23 "time" "BodyGyroJerkMag" "std" -0.981314831666667
"SITTING" 23 "time" "BodyGyroJerkMag" "std" -0.979226997941177
"STANDING" 23 "time" "BodyGyroJerkMag" "std" -0.972387365294118
"WALKING" 23 "time" "BodyGyroJerkMag" "std" 0.250173204117966
"WALKING_DOWNSTAIRS" 23 "time" "BodyGyroJerkMag" "std" 0.0594908483888889
"WALKING_UPSTAIRS" 23 "time" "BodyGyroJerkMag" "std" -0.551275188627451
"LAYING" 24 "time" "BodyGyroJerkMag" "std" -0.978659102222222
"SITTING" 24 "time" "BodyGyroJerkMag" "std" -0.990724530735294
"STANDING" 24 "time" "BodyGyroJerkMag" "std" -0.979995718695652
"WALKING" 24 "time" "BodyGyroJerkMag" "std" -0.556022765862069
"WALKING_DOWNSTAIRS" 24 "time" "BodyGyroJerkMag" "std" -0.459159852363636
"WALKING_UPSTAIRS" 24 "time" "BodyGyroJerkMag" "std" -0.638180352881356
"LAYING" 25 "time" "BodyGyroJerkMag" "std" -0.96830952260274
"SITTING" 25 "time" "BodyGyroJerkMag" "std" -0.991766403076923
"STANDING" 25 "time" "BodyGyroJerkMag" "std" -0.983230809594595
"WALKING" 25 "time" "BodyGyroJerkMag" "std" -0.757032544864865
"WALKING_DOWNSTAIRS" 25 "time" "BodyGyroJerkMag" "std" -0.67960595137931
"WALKING_UPSTAIRS" 25 "time" "BodyGyroJerkMag" "std" -0.824883302769231
"LAYING" 26 "time" "BodyGyroJerkMag" "std" -0.989917354473684
"SITTING" 26 "time" "BodyGyroJerkMag" "std" -0.994033207051282
"STANDING" 26 "time" "BodyGyroJerkMag" "std" -0.984253792432432
"WALKING" 26 "time" "BodyGyroJerkMag" "std" -0.603468672372881
"WALKING_DOWNSTAIRS" 26 "time" "BodyGyroJerkMag" "std" -0.463140795
"WALKING_UPSTAIRS" 26 "time" "BodyGyroJerkMag" "std" -0.661829656545455
"LAYING" 27 "time" "BodyGyroJerkMag" "std" -0.993484313243243
"SITTING" 27 "time" "BodyGyroJerkMag" "std" -0.992112829571429
"STANDING" 27 "time" "BodyGyroJerkMag" "std" -0.988819784
"WALKING" 27 "time" "BodyGyroJerkMag" "std" -0.618718628596491
"WALKING_DOWNSTAIRS" 27 "time" "BodyGyroJerkMag" "std" -0.465807533547727
"WALKING_UPSTAIRS" 27 "time" "BodyGyroJerkMag" "std" -0.724671165490196
"LAYING" 28 "time" "BodyGyroJerkMag" "std" -0.96977327725
"SITTING" 28 "time" "BodyGyroJerkMag" "std" -0.978441918333333
"STANDING" 28 "time" "BodyGyroJerkMag" "std" -0.956266480126582
"WALKING" 28 "time" "BodyGyroJerkMag" "std" -0.579861194259259
"WALKING_DOWNSTAIRS" 28 "time" "BodyGyroJerkMag" "std" -0.407132335434783
"WALKING_UPSTAIRS" 28 "time" "BodyGyroJerkMag" "std" -0.670132120784314
"LAYING" 29 "time" "BodyGyroJerkMag" "std" -0.997666071594203
"SITTING" 29 "time" "BodyGyroJerkMag" "std" -0.994905344
"STANDING" 29 "time" "BodyGyroJerkMag" "std" -0.991453632153846
"WALKING" 29 "time" "BodyGyroJerkMag" "std" -0.612222937169811
"WALKING_DOWNSTAIRS" 29 "time" "BodyGyroJerkMag" "std" -0.59705704875
"WALKING_UPSTAIRS" 29 "time" "BodyGyroJerkMag" "std" -0.712846318367347
"LAYING" 30 "time" "BodyGyroJerkMag" "std" -0.976177142571429
"SITTING" 30 "time" "BodyGyroJerkMag" "std" -0.991280225
"STANDING" 30 "time" "BodyGyroJerkMag" "std" -0.955995671864407
"WALKING" 30 "time" "BodyGyroJerkMag" "std" -0.546977272307692
"WALKING_DOWNSTAIRS" 30 "time" "BodyGyroJerkMag" "std" -0.617662073548387
"WALKING_UPSTAIRS" 30 "time" "BodyGyroJerkMag" "std" -0.774439096769231
"LAYING" 1 "frequency" "BodyAccMag" "std" -0.7983009404
"SITTING" 1 "frequency" "BodyAccMag" "std" -0.928444801702128
"STANDING" 1 "frequency" "BodyAccMag" "std" -0.982313804716981
"WALKING" 1 "frequency" "BodyAccMag" "std" -0.398032586842105
"WALKING_DOWNSTAIRS" 1 "frequency" "BodyAccMag" "std" -0.186530301073469
"WALKING_UPSTAIRS" 1 "frequency" "BodyAccMag" "std" -0.416260101509434
"LAYING" 2 "frequency" "BodyAccMag" "std" -0.975121387916667
"SITTING" 2 "frequency" "BodyAccMag" "std" -0.955575602173913
"STANDING" 2 "frequency" "BodyAccMag" "std" -0.960519381481482
"WALKING" 2 "frequency" "BodyAccMag" "std" -0.577105211694915
"WALKING_DOWNSTAIRS" 2 "frequency" "BodyAccMag" "std" -0.0214787881723404
"WALKING_UPSTAIRS" 2 "frequency" "BodyAccMag" "std" -0.36672824375
"LAYING" 3 "frequency" "BodyAccMag" "std" -0.968350217419355
"SITTING" 3 "frequency" "BodyAccMag" "std" -0.874626592115385
"STANDING" 3 "frequency" "BodyAccMag" "std" -0.921836076557377
"WALKING" 3 "frequency" "BodyAccMag" "std" -0.456373080862069
"WALKING_DOWNSTAIRS" 3 "frequency" "BodyAccMag" "std" -0.233849422120408
"WALKING_UPSTAIRS" 3 "frequency" "BodyAccMag" "std" -0.447994369152542
"LAYING" 4 "frequency" "BodyAccMag" "std" -0.937187975962963
"SITTING" 4 "frequency" "BodyAccMag" "std" -0.9198157096
"STANDING" 4 "frequency" "BodyAccMag" "std" -0.895340042142857
"WALKING" 4 "frequency" "BodyAccMag" "std" -0.651172628166667
"WALKING_DOWNSTAIRS" 4 "frequency" "BodyAccMag" "std" -0.263644030288889
"WALKING_UPSTAIRS" 4 "frequency" "BodyAccMag" "std" -0.301005898461538
"LAYING" 5 "frequency" "BodyAccMag" "std" -0.962525369423077
"SITTING" 5 "frequency" "BodyAccMag" "std" -0.925669291136364
"STANDING" 5 "frequency" "BodyAccMag" "std" -0.886745170714286
"WALKING" 5 "frequency" "BodyAccMag" "std" -0.519636926071429
"WALKING_DOWNSTAIRS" 5 "frequency" "BodyAccMag" "std" 0.0428533623276596
"WALKING_UPSTAIRS" 5 "frequency" "BodyAccMag" "std" -0.254091927148936
"LAYING" 6 "frequency" "BodyAccMag" "std" -0.905373979824561
"SITTING" 6 "frequency" "BodyAccMag" "std" -0.939547202909091
"STANDING" 6 "frequency" "BodyAccMag" "std" -0.94456410754386
"WALKING" 6 "frequency" "BodyAccMag" "std" -0.421683093508772
"WALKING_DOWNSTAIRS" 6 "frequency" "BodyAccMag" "std" 0.1446227570625
"WALKING_UPSTAIRS" 6 "frequency" "BodyAccMag" "std" -0.222161433666667
"LAYING" 7 "frequency" "BodyAccMag" "std" -0.910542462919231
"SITTING" 7 "frequency" "BodyAccMag" "std" -0.88691563825
"STANDING" 7 "frequency" "BodyAccMag" "std" -0.93728796509434
"WALKING" 7 "frequency" "BodyAccMag" "std" -0.351706780526316
"WALKING_DOWNSTAIRS" 7 "frequency" "BodyAccMag" "std" 0.0214440976893617
"WALKING_UPSTAIRS" 7 "frequency" "BodyAccMag" "std" -0.415307106666667
"LAYING" 8 "frequency" "BodyAccMag" "std" -0.917257979425926
"SITTING" 8 "frequency" "BodyAccMag" "std" -0.93172124
"STANDING" 8 "frequency" "BodyAccMag" "std" -0.938628186322222
"WALKING" 8 "frequency" "BodyAccMag" "std" -0.360818978541667
"WALKING_DOWNSTAIRS" 8 "frequency" "BodyAccMag" "std" -0.156141093578947
"WALKING_UPSTAIRS" 8 "frequency" "BodyAccMag" "std" -0.409282851707317
"LAYING" 9 "frequency" "BodyAccMag" "std" -0.921929738394
"SITTING" 9 "frequency" "BodyAccMag" "std" -0.8691725114
"STANDING" 9 "frequency" "BodyAccMag" "std" -0.940265546444444
"WALKING" 9 "frequency" "BodyAccMag" "std" -0.513891953269231
"WALKING_DOWNSTAIRS" 9 "frequency" "BodyAccMag" "std" 0.0888671674047619
"WALKING_UPSTAIRS" 9 "frequency" "BodyAccMag" "std" -0.509929461428571
"LAYING" 10 "frequency" "BodyAccMag" "std" -0.944304974655172
"SITTING" 10 "frequency" "BodyAccMag" "std" -0.941511952777778
"STANDING" 10 "frequency" "BodyAccMag" "std" -0.945048242954545
"WALKING" 10 "frequency" "BodyAccMag" "std" -0.370471943962264
"WALKING_DOWNSTAIRS" 10 "frequency" "BodyAccMag" "std" -0.0616742840815789
"WALKING_UPSTAIRS" 10 "frequency" "BodyAccMag" "std" -0.361437534680851
"LAYING" 11 "frequency" "BodyAccMag" "std" -0.976037695614035
"SITTING" 11 "frequency" "BodyAccMag" "std" -0.948521986037736
"STANDING" 11 "frequency" "BodyAccMag" "std" -0.981503969574468
"WALKING" 11 "frequency" "BodyAccMag" "std" -0.584455992033898
"WALKING_DOWNSTAIRS" 11 "frequency" "BodyAccMag" "std" -0.137123060369565
"WALKING_UPSTAIRS" 11 "frequency" "BodyAccMag" "std" -0.376027878888889
"LAYING" 12 "frequency" "BodyAccMag" "std" -0.942133255166667
"SITTING" 12 "frequency" "BodyAccMag" "std" -0.950647188823529
"STANDING" 12 "frequency" "BodyAccMag" "std" -0.939741929016393
"WALKING" 12 "frequency" "BodyAccMag" "std" -0.4088962994
"WALKING_DOWNSTAIRS" 12 "frequency" "BodyAccMag" "std" -0.105124972078261
"WALKING_UPSTAIRS" 12 "frequency" "BodyAccMag" "std" -0.395285130961538
"LAYING" 13 "frequency" "BodyAccMag" "std" -0.949431319193548
"SITTING" 13 "frequency" "BodyAccMag" "std" -0.938529931020408
"STANDING" 13 "frequency" "BodyAccMag" "std" -0.970445378947368
"WALKING" 13 "frequency" "BodyAccMag" "std" -0.438388953157895
"WALKING_DOWNSTAIRS" 13 "frequency" "BodyAccMag" "std" -0.210912766382979
"WALKING_UPSTAIRS" 13 "frequency" "BodyAccMag" "std" -0.409065516363636
"LAYING" 14 "frequency" "BodyAccMag" "std" -0.859606047058823
"SITTING" 14 "frequency" "BodyAccMag" "std" -0.929193937222222
"STANDING" 14 "frequency" "BodyAccMag" "std" -0.939799869833333
"WALKING" 14 "frequency" "BodyAccMag" "std" -0.457490009491525
"WALKING_DOWNSTAIRS" 14 "frequency" "BodyAccMag" "std" 0.178684580868889
"WALKING_UPSTAIRS" 14 "frequency" "BodyAccMag" "std" -0.143253889222222
"LAYING" 15 "frequency" "BodyAccMag" "std" -0.94550856
"SITTING" 15 "frequency" "BodyAccMag" "std" -0.941195938135593
"STANDING" 15 "frequency" "BodyAccMag" "std" -0.950204045849057
"WALKING" 15 "frequency" "BodyAccMag" "std" -0.458344792407407
"WALKING_DOWNSTAIRS" 15 "frequency" "BodyAccMag" "std" 0.153124178119048
"WALKING_UPSTAIRS" 15 "frequency" "BodyAccMag" "std" -0.255659340833333
"LAYING" 16 "frequency" "BodyAccMag" "std" -0.958111895857143
"SITTING" 16 "frequency" "BodyAccMag" "std" -0.942588250115942
"STANDING" 16 "frequency" "BodyAccMag" "std" -0.957173571923077
"WALKING" 16 "frequency" "BodyAccMag" "std" -0.592150985098039
"WALKING_DOWNSTAIRS" 16 "frequency" "BodyAccMag" "std" -0.0534137179170213
"WALKING_UPSTAIRS" 16 "frequency" "BodyAccMag" "std" -0.418924256078431
"LAYING" 17 "frequency" "BodyAccMag" "std" -0.949042531690141
"SITTING" 17 "frequency" "BodyAccMag" "std" -0.9653996796875
"STANDING" 17 "frequency" "BodyAccMag" "std" -0.975504840641026
"WALKING" 17 "frequency" "BodyAccMag" "std" -0.565162507704918
"WALKING_DOWNSTAIRS" 17 "frequency" "BodyAccMag" "std" -0.0618876767130435
"WALKING_UPSTAIRS" 17 "frequency" "BodyAccMag" "std" -0.217393170604167
"LAYING" 18 "frequency" "BodyAccMag" "std" -0.987648484461539
"SITTING" 18 "frequency" "BodyAccMag" "std" -0.982226151578947
"STANDING" 18 "frequency" "BodyAccMag" "std" -0.973264853561644
"WALKING" 18 "frequency" "BodyAccMag" "std" -0.565563056964286
"WALKING_DOWNSTAIRS" 18 "frequency" "BodyAccMag" "std" -0.344299434181818
"WALKING_UPSTAIRS" 18 "frequency" "BodyAccMag" "std" -0.436218933448276
"LAYING" 19 "frequency" "BodyAccMag" "std" -0.964056773975904
"SITTING" 19 "frequency" "BodyAccMag" "std" -0.952802277671233
"STANDING" 19 "frequency" "BodyAccMag" "std" -0.964259110821918
"WALKING" 19 "frequency" "BodyAccMag" "std" -0.324793406057692
"WALKING_DOWNSTAIRS" 19 "frequency" "BodyAccMag" "std" 0.0828630624102564
"WALKING_UPSTAIRS" 19 "frequency" "BodyAccMag" "std" -0.368253499
"LAYING" 20 "frequency" "BodyAccMag" "std" -0.9418940855
"SITTING" 20 "frequency" "BodyAccMag" "std" -0.942151231515152
"STANDING" 20 "frequency" "BodyAccMag" "std" -0.918651880273973
"WALKING" 20 "frequency" "BodyAccMag" "std" -0.389934004313725
"WALKING_DOWNSTAIRS" 20 "frequency" "BodyAccMag" "std" 0.000242174637777778
"WALKING_UPSTAIRS" 20 "frequency" "BodyAccMag" "std" -0.320241012294118
"LAYING" 21 "frequency" "BodyAccMag" "std" -0.944449070888889
"SITTING" 21 "frequency" "BodyAccMag" "std" -0.974447593176471
"STANDING" 21 "frequency" "BodyAccMag" "std" -0.960041844382022
"WALKING" 21 "frequency" "BodyAccMag" "std" -0.438149791153846
"WALKING_DOWNSTAIRS" 21 "frequency" "BodyAccMag" "std" 0.0791271386644444
"WALKING_UPSTAIRS" 21 "frequency" "BodyAccMag" "std" -0.403357611702128
"LAYING" 22 "frequency" "BodyAccMag" "std" -0.913267251263889
"SITTING" 22 "frequency" "BodyAccMag" "std" -0.926798029822581
"STANDING" 22 "frequency" "BodyAccMag" "std" -0.943739135238095
"WALKING" 22 "frequency" "BodyAccMag" "std" -0.381399308043478
"WALKING_DOWNSTAIRS" 22 "frequency" "BodyAccMag" "std" -0.0575202606055556
"WALKING_UPSTAIRS" 22 "frequency" "BodyAccMag" "std" -0.334126221428571
"LAYING" 23 "frequency" "BodyAccMag" "std" -0.958465695416667
"SITTING" 23 "frequency" "BodyAccMag" "std" -0.927090118382353
"STANDING" 23 "frequency" "BodyAccMag" "std" -0.955291356470588
"WALKING" 23 "frequency" "BodyAccMag" "std" -0.407577515762712
"WALKING_DOWNSTAIRS" 23 "frequency" "BodyAccMag" "std" -0.0453930349148148
"WALKING_UPSTAIRS" 23 "frequency" "BodyAccMag" "std" -0.410047643333333
"LAYING" 24 "frequency" "BodyAccMag" "std" -0.971063024027778
"SITTING" 24 "frequency" "BodyAccMag" "std" -0.965852262058824
"STANDING" 24 "frequency" "BodyAccMag" "std" -0.949522556376812
"WALKING" 24 "frequency" "BodyAccMag" "std" -0.590265845517241
"WALKING_DOWNSTAIRS" 24 "frequency" "BodyAccMag" "std" -0.175291708678182
"WALKING_UPSTAIRS" 24 "frequency" "BodyAccMag" "std" -0.406283377627119
"LAYING" 25 "frequency" "BodyAccMag" "std" -0.651353241643836
"SITTING" 25 "frequency" "BodyAccMag" "std" -0.961997268307692
"STANDING" 25 "frequency" "BodyAccMag" "std" -0.970203660405405
"WALKING" 25 "frequency" "BodyAccMag" "std" -0.632927475540541
"WALKING_DOWNSTAIRS" 25 "frequency" "BodyAccMag" "std" -0.359437080103448
"WALKING_UPSTAIRS" 25 "frequency" "BodyAccMag" "std" -0.536120293230769
"LAYING" 26 "frequency" "BodyAccMag" "std" -0.966576631710526
"SITTING" 26 "frequency" "BodyAccMag" "std" -0.934587699141026
"STANDING" 26 "frequency" "BodyAccMag" "std" -0.963909299324324
"WALKING" 26 "frequency" "BodyAccMag" "std" -0.537183967118644
"WALKING_DOWNSTAIRS" 26 "frequency" "BodyAccMag" "std" 0.005749436614
"WALKING_UPSTAIRS" 26 "frequency" "BodyAccMag" "std" -0.274226227272727
"LAYING" 27 "frequency" "BodyAccMag" "std" -0.980296339054054
"SITTING" 27 "frequency" "BodyAccMag" "std" -0.970885296857143
"STANDING" 27 "frequency" "BodyAccMag" "std" -0.967529105125
"WALKING" 27 "frequency" "BodyAccMag" "std" -0.550392604912281
"WALKING_DOWNSTAIRS" 27 "frequency" "BodyAccMag" "std" -0.071212004425
"WALKING_UPSTAIRS" 27 "frequency" "BodyAccMag" "std" -0.468707734509804
"LAYING" 28 "frequency" "BodyAccMag" "std" -0.95756401875
"SITTING" 28 "frequency" "BodyAccMag" "std" -0.952281424444444
"STANDING" 28 "frequency" "BodyAccMag" "std" -0.923857158227848
"WALKING" 28 "frequency" "BodyAccMag" "std" -0.511573670555556
"WALKING_DOWNSTAIRS" 28 "frequency" "BodyAccMag" "std" -0.074058597676087
"WALKING_UPSTAIRS" 28 "frequency" "BodyAccMag" "std" -0.334626168823529
"LAYING" 29 "frequency" "BodyAccMag" "std" -0.981599783623188
"SITTING" 29 "frequency" "BodyAccMag" "std" -0.971218019833333
"STANDING" 29 "frequency" "BodyAccMag" "std" -0.982247716
"WALKING" 29 "frequency" "BodyAccMag" "std" -0.393257505471698
"WALKING_DOWNSTAIRS" 29 "frequency" "BodyAccMag" "std" -0.0330868111229167
"WALKING_UPSTAIRS" 29 "frequency" "BodyAccMag" "std" -0.155993755897959
"LAYING" 30 "frequency" "BodyAccMag" "std" -0.964051810714286
"SITTING" 30 "frequency" "BodyAccMag" "std" -0.943543732580645
"STANDING" 30 "frequency" "BodyAccMag" "std" -0.921733233050847
"WALKING" 30 "frequency" "BodyAccMag" "std" -0.469852794923077
"WALKING_DOWNSTAIRS" 30 "frequency" "BodyAccMag" "std" -0.178535173268548
"WALKING_UPSTAIRS" 30 "frequency" "BodyAccMag" "std" -0.394508080769231
"LAYING" 1 "frequency" "BodyBodyAccJerkMag" "std" -0.9218039756
"SITTING" 1 "frequency" "BodyBodyAccJerkMag" "std" -0.981606177446808
"STANDING" 1 "frequency" "BodyBodyAccJerkMag" "std" -0.992536003396226
"WALKING" 1 "frequency" "BodyBodyAccJerkMag" "std" -0.103492403002105
"WALKING_DOWNSTAIRS" 1 "frequency" "BodyBodyAccJerkMag" "std" -0.104052260726531
"WALKING_UPSTAIRS" 1 "frequency" "BodyBodyAccJerkMag" "std" -0.533059853773585
"LAYING" 2 "frequency" "BodyBodyAccJerkMag" "std" -0.984568489166667
"SITTING" 2 "frequency" "BodyBodyAccJerkMag" "std" -0.984124185869565
"STANDING" 2 "frequency" "BodyBodyAccJerkMag" "std" -0.97516046
"WALKING" 2 "frequency" "BodyBodyAccJerkMag" "std" -0.164091969449153
"WALKING_DOWNSTAIRS" 2 "frequency" "BodyBodyAccJerkMag" "std" 0.227480732542553
"WALKING_UPSTAIRS" 2 "frequency" "BodyBodyAccJerkMag" "std" -0.2604238389625
"LAYING" 3 "frequency" "BodyBodyAccJerkMag" "std" -0.975305377903226
"SITTING" 3 "frequency" "BodyBodyAccJerkMag" "std" -0.966568852884615
"STANDING" 3 "frequency" "BodyBodyAccJerkMag" "std" -0.94820681442623
"WALKING" 3 "frequency" "BodyBodyAccJerkMag" "std" -0.0898519904044828
"WALKING_DOWNSTAIRS" 3 "frequency" "BodyBodyAccJerkMag" "std" -0.159102288018367
"WALKING_UPSTAIRS" 3 "frequency" "BodyBodyAccJerkMag" "std" -0.48060920220339
"LAYING" 4 "frequency" "BodyBodyAccJerkMag" "std" -0.958037119259259
"SITTING" 4 "frequency" "BodyBodyAccJerkMag" "std" -0.9615845194
"STANDING" 4 "frequency" "BodyBodyAccJerkMag" "std" -0.96003249875
"WALKING" 4 "frequency" "BodyBodyAccJerkMag" "std" -0.320458701
"WALKING_DOWNSTAIRS" 4 "frequency" "BodyBodyAccJerkMag" "std" -0.280426776955556
"WALKING_UPSTAIRS" 4 "frequency" "BodyBodyAccJerkMag" "std" -0.497324087307692
"LAYING" 5 "frequency" "BodyBodyAccJerkMag" "std" -0.976381934807692
"SITTING" 5 "frequency" "BodyBodyAccJerkMag" "std" -0.966545323409091
"STANDING" 5 "frequency" "BodyBodyAccJerkMag" "std" -0.943601960178571
"WALKING" 5 "frequency" "BodyBodyAccJerkMag" "std" -0.305685376071429
"WALKING_DOWNSTAIRS" 5 "frequency" "BodyBodyAccJerkMag" "std" -0.089735699787234
"WALKING_UPSTAIRS" 5 "frequency" "BodyBodyAccJerkMag" "std" -0.378616675957447
"LAYING" 6 "frequency" "BodyBodyAccJerkMag" "std" -0.951552664035088
"SITTING" 6 "frequency" "BodyBodyAccJerkMag" "std" -0.947304700363636
"STANDING" 6 "frequency" "BodyBodyAccJerkMag" "std" -0.95538157877193
"WALKING" 6 "frequency" "BodyBodyAccJerkMag" "std" -0.0964999702982456
"WALKING_DOWNSTAIRS" 6 "frequency" "BodyBodyAccJerkMag" "std" 0.15480886140625
"WALKING_UPSTAIRS" 6 "frequency" "BodyBodyAccJerkMag" "std" -0.177734840922353
"LAYING" 7 "frequency" "BodyBodyAccJerkMag" "std" -0.965359228076923
"SITTING" 7 "frequency" "BodyBodyAccJerkMag" "std" -0.9684948675
"STANDING" 7 "frequency" "BodyBodyAccJerkMag" "std" -0.969092161886792
"WALKING" 7 "frequency" "BodyBodyAccJerkMag" "std" -0.022138358
"WALKING_DOWNSTAIRS" 7 "frequency" "BodyBodyAccJerkMag" "std" 0.107856840302128
"WALKING_UPSTAIRS" 7 "frequency" "BodyBodyAccJerkMag" "std" -0.497441363137255
"LAYING" 8 "frequency" "BodyBodyAccJerkMag" "std" -0.963791094259259
"SITTING" 8 "frequency" "BodyBodyAccJerkMag" "std" -0.97932021173913
"STANDING" 8 "frequency" "BodyBodyAccJerkMag" "std" -0.979135440925926
"WALKING" 8 "frequency" "BodyBodyAccJerkMag" "std" -0.276436130125
"WALKING_DOWNSTAIRS" 8 "frequency" "BodyBodyAccJerkMag" "std" 0.134734731236842
"WALKING_UPSTAIRS" 8 "frequency" "BodyBodyAccJerkMag" "std" -0.379266499780488
"LAYING" 9 "frequency" "BodyBodyAccJerkMag" "std" -0.9550947122
"SITTING" 9 "frequency" "BodyBodyAccJerkMag" "std" -0.9493949814
"STANDING" 9 "frequency" "BodyBodyAccJerkMag" "std" -0.963593159555556
"WALKING" 9 "frequency" "BodyBodyAccJerkMag" "std" -0.322337536730769
"WALKING_DOWNSTAIRS" 9 "frequency" "BodyBodyAccJerkMag" "std" 0.0705526138333333
"WALKING_UPSTAIRS" 9 "frequency" "BodyBodyAccJerkMag" "std" -0.484935752040816
"LAYING" 10 "frequency" "BodyBodyAccJerkMag" "std" -0.965377553448276
"SITTING" 10 "frequency" "BodyBodyAccJerkMag" "std" -0.983266741481482
"STANDING" 10 "frequency" "BodyBodyAccJerkMag" "std" -0.952105964545455
"WALKING" 10 "frequency" "BodyBodyAccJerkMag" "std" 0.0502087634986792
"WALKING_DOWNSTAIRS" 10 "frequency" "BodyBodyAccJerkMag" "std" 0.0380266696789474
"WALKING_UPSTAIRS" 10 "frequency" "BodyBodyAccJerkMag" "std" -0.334365043829787
"LAYING" 11 "frequency" "BodyBodyAccJerkMag" "std" -0.975126531403509
"SITTING" 11 "frequency" "BodyBodyAccJerkMag" "std" -0.972289134150943
"STANDING" 11 "frequency" "BodyBodyAccJerkMag" "std" -0.98802123106383
"WALKING" 11 "frequency" "BodyBodyAccJerkMag" "std" -0.41744681559322
"WALKING_DOWNSTAIRS" 11 "frequency" "BodyBodyAccJerkMag" "std" -0.173661753717391
"WALKING_UPSTAIRS" 11 "frequency" "BodyBodyAccJerkMag" "std" -0.513703461481481
"LAYING" 12 "frequency" "BodyBodyAccJerkMag" "std" -0.961653004
"SITTING" 12 "frequency" "BodyBodyAccJerkMag" "std" -0.972951443333333
"STANDING" 12 "frequency" "BodyBodyAccJerkMag" "std" -0.964145595245902
"WALKING" 12 "frequency" "BodyBodyAccJerkMag" "std" -0.013953908696
"WALKING_DOWNSTAIRS" 12 "frequency" "BodyBodyAccJerkMag" "std" 0.0420631251108696
"WALKING_UPSTAIRS" 12 "frequency" "BodyBodyAccJerkMag" "std" -0.346565141730769
"LAYING" 13 "frequency" "BodyBodyAccJerkMag" "std" -0.978044349516129
"SITTING" 13 "frequency" "BodyBodyAccJerkMag" "std" -0.988332303469388
"STANDING" 13 "frequency" "BodyBodyAccJerkMag" "std" -0.980621262631579
"WALKING" 13 "frequency" "BodyBodyAccJerkMag" "std" -0.113591923723684
"WALKING_DOWNSTAIRS" 13 "frequency" "BodyBodyAccJerkMag" "std" -0.0709893839055319
"WALKING_UPSTAIRS" 13 "frequency" "BodyBodyAccJerkMag" "std" -0.491090809090909
"LAYING" 14 "frequency" "BodyBodyAccJerkMag" "std" -0.963607433921569
"SITTING" 14 "frequency" "BodyBodyAccJerkMag" "std" -0.972959409444444
"STANDING" 14 "frequency" "BodyBodyAccJerkMag" "std" -0.969677515666667
"WALKING" 14 "frequency" "BodyBodyAccJerkMag" "std" -0.453426008983051
"WALKING_DOWNSTAIRS" 14 "frequency" "BodyBodyAccJerkMag" "std" 0.194263424111111
"WALKING_UPSTAIRS" 14 "frequency" "BodyBodyAccJerkMag" "std" -0.409847649281481
